epoch,mse_lasso,mse_ridge,mae_lasso,mae_ridge
74,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
75,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
76,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
77,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
78,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
79,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
80,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
81,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
82,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
83,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
84,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
85,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
86,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
87,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
88,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
89,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
90,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
91,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
92,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
93,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
94,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
95,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
96,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
97,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
98,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
99,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
100,1138758788.0071638,1138749225.9848385,23113.367570610375,23112.57304532631
