epoch,mse_lasso,mse_ridge,mae_lasso,mae_ridge
56,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
57,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
58,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
59,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
60,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
61,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
62,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
63,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
64,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
65,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
66,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
67,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
68,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
69,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
70,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
71,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
72,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
73,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
74,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
75,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
76,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
77,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
78,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
79,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
80,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
81,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
82,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
83,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
84,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
85,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
86,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
87,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
88,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
89,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
90,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
91,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
92,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
93,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
94,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
95,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
96,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
97,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
98,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
99,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
100,1110197315.4845183,1110187736.0106125,22809.85846208179,22809.181925673423
